"date","commune","case_true","case_lowCI","case_med","case_uppCI","pop","inc_true","inc_lowCI","inc_med","inc_uppCI","hist_year","season","month_lab"
2022-09-01,"MAROHARATRA",NA,71,106,158,14869,NA,4.80235575662171,7.13375926312341,10.6127769701149,3,"2022/2023","Sep"
2022-09-01,"MAROTOKO",NA,123,187,283,8563,NA,14.3809114443286,21.8009962186929,33.0788396261608,3,"2022/2023","Sep"
2022-09-01,"RANOMAFANA",NA,44,69,106,16329,NA,2.723492167013,4.20546006224179,6.49459387106179,3,"2022/2023","Sep"
2022-09-01,"TSARATANANA",NA,221,301,410,30677,NA,7.20390312420218,9.81617103776521,13.3751994029436,3,"2022/2023","Sep"
2022-10-01,"AMBIABE",NA,140,199,282,11826,NA,11.8097073502173,16.7864618044748,23.8600698682249,3,"2022/2023","Oct"
2022-10-01,"AMBOHIMANGA DU SUD",NA,249,331,441,22994,NA,10.8183530658135,14.3987084660574,19.1700652173023,3,"2022/2023","Oct"
2022-10-01,"AMBOHIMIERA",NA,170,243,348,17567,NA,9.70262067658042,13.8520834720705,19.8077688187276,3,"2022/2023","Oct"
2022-10-01,"AMPASINAMBO",NA,35,58,97,3911,NA,8.87122382044606,14.8403112726173,24.8512370554531,3,"2022/2023","Oct"
2022-10-01,"ANALAMPASINA",NA,75,113,169,7632,NA,9.87095943816711,14.7951376278948,22.1779306267336,3,"2022/2023","Oct"
2022-10-01,"ANDRORANGAVOLA",NA,213,295,408,18157,NA,11.741901032008,16.2332599957306,22.4566447549235,3,"2022/2023","Oct"
2022-10-01,"ANTARETRA",NA,168,226,305,12304,NA,13.6704519692194,18.4062057980192,24.7832624255208,3,"2022/2023","Oct"
2022-10-01,"ANTSINDRA",NA,159,229,331,7983,NA,19.8867698926877,28.7262974270111,41.5101229006711,3,"2022/2023","Oct"
2022-10-01,"FASINTSARA",NA,160,219,301,14617,NA,10.9241869818174,14.9934034199488,20.579071719349,3,"2022/2023","Oct"
2022-10-01,"IFANADIANA",NA,157,210,282,21466,NA,7.30182186921605,9.78966393005993,13.1253711436378,3,"2022/2023","Oct"
2022-10-01,"KELILALINA",NA,152,202,268,15689,NA,9.67863353836918,12.8666986942101,17.1046376640562,3,"2022/2023","Oct"
2022-10-01,"MAROHARATRA",NA,138,193,271,14903,NA,9.24147629707565,12.9638818545768,18.2101762634172,3,"2022/2023","Oct"
2022-10-01,"MAROTOKO",NA,181,265,387,8583,NA,21.1430299567549,30.8463033300342,45.0698251748879,3,"2022/2023","Oct"
2022-10-01,"RANOMAFANA",NA,54,78,113,16366,NA,3.29918347124681,4.76990914812657,6.89606098340902,3,"2022/2023","Oct"
2022-10-01,"TSARATANANA",NA,435,571,750,30747,NA,14.147814090945,18.576398997476,24.3927326644991,3,"2022/2023","Oct"
2022-11-01,"AMBIABE",NA,347,478,659,11852,NA,29.275259921659,40.3353239196238,55.6012814887566,3,"2022/2023","Nov"
2022-11-01,"AMBOHIMANGA DU SUD",NA,588,760,984,23047,NA,25.5202114469421,32.9967235530424,42.6799333409368,3,"2022/2023","Nov"
2022-11-01,"AMBOHIMIERA",NA,579,778,1045,17606,NA,32.9141850278038,44.1627239325002,59.3758410260742,3,"2022/2023","Nov"
2022-11-01,"AMPASINAMBO",NA,68,100,147,3920,NA,17.4743790730426,25.5876812232592,37.5481642172078,3,"2022/2023","Nov"
2022-11-01,"ANALAMPASINA",NA,210,291,403,7648,NA,27.4083484292792,38.0103014693291,52.7471873338886,3,"2022/2023","Nov"
2022-11-01,"ANDRORANGAVOLA",NA,396,523,693,18201,NA,21.7357979455737,28.7608747436041,38.0912047625532,3,"2022/2023","Nov"
2022-11-01,"ANTARETRA",NA,360,476,629,12330,NA,29.1885372736508,38.5982981522072,51.0477899272313,3,"2022/2023","Nov"
2022-11-01,"ANTSINDRA",NA,263,365,507,8003,NA,32.8438605741324,45.5912325952439,63.3037713636856,3,"2022/2023","Nov"
2022-11-01,"FASINTSARA",NA,407,534,702,14649,NA,27.7752556803917,36.4853373457792,47.9339838993457,3,"2022/2023","Nov"
2022-11-01,"IFANADIANA",NA,395,523,691,21514,NA,18.3814129788289,24.2949309067082,32.1148827499063,3,"2022/2023","Nov"
2022-11-01,"KELILALINA",NA,328,427,557,15724,NA,20.8782893295818,27.1850633986192,35.3977551398042,3,"2022/2023","Nov"
2022-11-01,"MAROHARATRA",NA,433,580,777,14937,NA,28.9978788417842,38.7993603153704,52.0110431114485,3,"2022/2023","Nov"
2022-11-01,"MAROTOKO",NA,340,475,665,8601,NA,39.5373860534261,55.2604612376476,77.3666939036834,3,"2022/2023","Nov"
